"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal)_1 []"
0.915,0,-123,-12.3423413489872
0.915,0,-122,-10.281012307621
0.915,0,-121,-10.3673230540876
0.915,0,-120,-11.6663081848802
0.915,0,-119,-12.0103392933173
0.915,0,-118,-9.86718317706986
0.915,0,-117,-7.78714543042083
0.915,0,-116,-7.23797712594055
0.915,0,-115,-7.95697760380772
0.915,0,-114,-8.32066244772898
0.915,0,-113,-7.54091454363805
0.915,0,-112,-7.30755371192754
0.915,0,-111,-8.21595595325388
0.915,0,-110,-9.00424671271953
0.915,0,-109,-8.35325831906503
0.915,0,-108,-7.44088979679904
0.915,0,-107,-7.39246822719831
0.915,0,-106,-8.15500158755795
0.915,0,-105,-8.6083084863486
0.915,0,-104,-8.21625744037122
0.915,0,-103,-8.2402033958208
0.915,0,-102,-9.21215352539603
0.915,0,-101,-10.06835588901
0.915,0,-100,-10.0563998556831
0.915,0,-99,-10.1869487469684
0.915,0,-98,-10.4621913768018
0.915,0,-97,-10.2301877305112
0.915,0,-96,-10.2237347075903
0.915,0,-95,-11.4000893346899
0.915,0,-94,-13.6467233118739
0.915,0,-93,-13.9374371471617
0.915,0,-92,-11.0375808936395
0.915,0,-91,-8.97428090711793
0.915,0,-90,-9.01617721234678
0.915,0,-89,-10.5822005163719
0.915,0,-88,-10.5512493933193
0.915,0,-87,-9.47311400251595
0.915,0,-86,-9.9036233770542
0.915,0,-85,-9.42184997683342
0.915,0,-84,-6.97511668869238
0.915,0,-83,-6.03556269070439
0.915,0,-82,-7.3694917707896
0.915,0,-81,-8.54249781999967
0.915,0,-80,-6.54923837585252
0.915,0,-79,-5.23391815065548
0.915,0,-78,-5.40015335005892
0.915,0,-77,-5.2174767500037
0.915,0,-76,-4.08965531973941
0.915,0,-75,-3.32437742470422
0.915,0,-74,-3.23768782126764
0.915,0,-73,-3.43254522652333
0.915,0,-72,-3.26712897326445
0.915,0,-71,-2.59212878830249
0.915,0,-70,-2.11742670860512
0.915,0,-69,-1.84006838680247
0.915,0,-68,-1.08474164962617
0.915,0,-67,-0.463339398756127
0.915,0,-66,-0.905965247304179
0.915,0,-65,-2.08036174705578
0.915,0,-64,-2.32896206768828
0.915,0,-63,-1.34337972615237
0.915,0,-62,-0.692911766057045
0.915,0,-61,-1.12084710347289
0.915,0,-60,-1.69929217980644
0.915,0,-59,-0.587618117809905
0.915,0,-58,0.717185016371595
0.915,0,-57,0.723327618979591
0.915,0,-56,0.013619087001316
0.915,0,-55,0.0309062978006462
0.915,0,-54,0.674170186013125
0.915,0,-53,1.0726281078258
0.915,0,-52,1.21229041881321
0.915,0,-51,1.4718568955144
0.915,0,-50,1.9420211071392
0.915,0,-49,2.39938556479918
0.915,0,-48,2.84291304219941
0.915,0,-47,3.40073131586958
0.915,0,-46,3.81468332475746
0.915,0,-45,3.67420082158142
0.915,0,-44,2.98804007659922
0.915,0,-43,2.49101395737588
0.915,0,-42,2.93327215258933
0.915,0,-41,3.73762840902567
0.915,0,-40,4.02247643317859
0.915,0,-39,3.53663517466923
0.915,0,-38,2.44723194842409
0.915,0,-37,1.13122721063276
0.915,0,-36,0.259034241073774
0.915,0,-35,0.728645950010893
0.915,0,-34,2.40209118799206
0.915,0,-33,4.18295549784426
0.915,0,-32,5.43454333700689
0.915,0,-31,6.12722167069885
0.915,0,-30,6.62919853771474
0.915,0,-29,7.33118342018871
0.915,0,-28,8.13993043774959
0.915,0,-27,8.6588262946252
0.915,0,-26,8.67882413045843
0.915,0,-25,8.32354884993594
0.915,0,-24,7.97612610859031
0.915,0,-23,7.93775257140203
0.915,0,-22,8.07776646442866
0.915,0,-21,8.05741575133868
0.915,0,-20,7.65400938799899
0.915,0,-19,6.77267590158462
0.915,0,-18,5.38888167272509
0.915,0,-17,3.60253925098485
0.915,0,-16,1.8588505836489
0.915,0,-15,1.12548448538217
0.915,0,-14,1.93933155993746
0.915,0,-13,3.49433288701853
0.915,0,-12,4.93443828795386
0.915,0,-11,5.99955511223634
0.915,0,-10,6.80237567704942
0.915,0,-9,7.55987633577295
0.915,0,-8,8.34308525451329
0.915,0,-7,9.01267100634304
0.915,0,-6,9.36860980315285
0.915,0,-5,9.28021242469477
0.915,0,-4,8.71693435566571
0.915,0,-3,7.73295540378993
0.915,0,-2,6.41600800575123
0.915,0,-1,4.78597379755827
0.915,0,0,2.71343722920853
0.915,0,1,0.102151892190385
0.915,0,2,-1.83453269104471
0.915,0,3,-0.229216128057046
0.915,0,4,2.9153112798789
0.915,0,5,5.52093162509153
0.915,0,6,7.46104555189711
0.915,0,7,8.91732602546855
0.915,0,8,10.0265889077553
0.915,0,9,10.8535559834834
0.915,0,10,11.4282704148064
0.915,0,11,11.7860656692649
0.915,0,12,11.970768982411
0.915,0,13,12.0081975796998
0.915,0,14,11.8898813219531
0.915,0,15,11.5899208886403
0.915,0,16,11.0971315773206
0.915,0,17,10.434796594734
0.915,0,18,9.66774850492982
0.915,0,19,8.91223123303251
0.915,0,20,8.32011822466188
