"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal)_1 []"
0.915,0,-76,-9.10489575702177
0.915,0,-75,-7.61203304966625
0.915,0,-74,-5.96613619567832
0.915,0,-73,-5.31439102387346
0.915,0,-72,-4.7050898204097
0.915,0,-71,-3.50083731199196
0.915,0,-70,-2.83893098680772
0.915,0,-69,-3.0308882193771
0.915,0,-68,-3.09775732609412
0.915,0,-67,-2.63595494686363
0.915,0,-66,-2.06486271758142
0.915,0,-65,-1.49413165808354
0.915,0,-64,-1.13212734462722
0.915,0,-63,-0.748557515736004
0.915,0,-62,0.0356502777427331
0.915,0,-61,0.463857696229801
0.915,0,-60,-0.093068794882935
0.915,0,-59,-0.940923424102928
0.915,0,-58,-0.91486929650783
0.915,0,-57,-0.498037536596801
0.915,0,-56,-0.362775344418289
0.915,0,-55,-0.565977114021866
0.915,0,-54,-1.14294252573917
0.915,0,-53,-1.71665057212243
0.915,0,-52,-1.68175741705444
0.915,0,-51,-1.33546060065644
0.915,0,-50,-1.3302770538814
0.915,0,-49,-2.08926559858897
0.915,0,-48,-3.9164537019339
0.915,0,-47,-6.16891581017997
0.915,0,-46,-6.44030241637125
0.915,0,-45,-5.92849506512546
0.915,0,-44,-7.37028042038654
0.915,0,-43,-12.5241869433413
0.915,0,-42,-22.5825415658851
0.915,0,-41,-13.3433656700996
0.915,0,-40,-10.9494314477778
0.915,0,-39,-13.0537814755991
0.915,0,-38,-15.7953255256513
0.915,0,-37,-8.52348168045242
0.915,0,-36,-4.07216142252616
0.915,0,-35,-2.13404760781613
0.915,0,-34,-1.48656264452802
0.915,0,-33,-0.779362483213871
0.915,0,-32,0.670977279994871
0.915,0,-31,2.28599886254694
0.915,0,-30,3.73826270386087
0.915,0,-29,5.19841666717029
0.915,0,-28,6.71130560907386
0.915,0,-27,8.0891510900918
0.915,0,-26,9.20805174021212
0.915,0,-25,10.1099687481958
0.915,0,-24,10.8818592162434
0.915,0,-23,11.5378097772447
0.915,0,-22,12.0567145880433
0.915,0,-21,12.4804181952253
0.915,0,-20,12.8888205668047
0.915,0,-19,13.2794117169127
0.915,0,-18,13.5523378146551
0.915,0,-17,13.6266919616225
0.915,0,-16,13.5163386500867
0.915,0,-15,13.2919343708039
0.915,0,-14,12.9905419921131
0.915,0,-13,12.5798121882388
0.915,0,-12,12.0084534894688
0.915,0,-11,11.2622284778418
0.915,0,-10,10.3646870512613
0.915,0,-9,9.34184496742323
0.915,0,-8,8.19422083454495
0.915,0,-7,6.88809492096404
0.915,0,-6,5.34419929069589
0.915,0,-5,3.40761361417375
0.915,0,-4,0.797214180788966
0.915,0,-3,-2.95867113182408
0.915,0,-2,-7.96510710058862
0.915,0,-1,-8.44849007379243
0.915,0,0,-4.95602972817339
0.915,0,1,-2.99759517339242
0.915,0,2,-2.37713343075969
0.915,0,3,-2.38378863860051
0.915,0,4,-2.18488748257685
0.915,0,5,-1.26156628867991
0.915,0,6,0.120623755288783
0.915,0,7,1.56128230554869
0.915,0,8,3.03941491625738
0.915,0,9,4.63858989237831
0.915,0,10,6.21241840846413
0.915,0,11,7.50998302955904
0.915,0,12,8.41492635765189
0.915,0,13,8.97416024671714
0.915,0,14,9.30919990590307
0.915,0,15,9.52189224724199
0.915,0,16,9.66641402867794
0.915,0,17,9.78812024629186
0.915,0,18,9.93317833190385
0.915,0,19,10.0906899003519
0.915,0,20,10.1642421595769
0.915,0,21,10.0291574803621
0.915,0,22,9.60154414898956
0.915,0,23,8.87177710924815
0.915,0,24,7.91886765858637
0.915,0,25,6.88115977943608
0.915,0,26,5.85057008006074
0.915,0,27,4.81567882528766
0.915,0,28,3.73317402986134
0.915,0,29,2.50888711394641
0.915,0,30,0.899654525245956
0.915,0,31,-1.32680582326521
0.915,0,32,-3.91362409895864
0.915,0,33,-5.83843273121722
0.915,0,34,-6.92338640558061
0.915,0,35,-8.31298640697722
0.915,0,36,-10.1640839033026
0.915,0,37,-11.0349521225005
0.915,0,38,-10.2064260138742
0.915,0,39,-9.26529765913144
0.915,0,40,-8.86446504686628
0.915,0,41,-7.96058300704508
0.915,0,42,-6.05915722794805
0.915,0,43,-4.51942202635013
0.915,0,44,-3.87441070782832
0.915,0,45,-2.96719390946943
0.915,0,46,-1.27118095345451
0.915,0,47,0.0490526494187536
0.915,0,48,0.660876704303078
0.915,0,49,1.00319003833192
0.915,0,50,1.38270615401268
0.915,0,51,1.97308062323375
0.915,0,52,2.70029608974137
0.915,0,53,3.08839405249395
0.915,0,54,3.09060181579416
0.915,0,55,3.18940050645731
0.915,0,56,3.44782100316935
0.915,0,57,3.63122797385951
0.915,0,58,3.72595394719912
0.915,0,59,3.5645314028217
0.915,0,60,3.19263509997074
0.915,0,61,3.09393328971222
0.915,0,62,3.03624711908783
0.915,0,63,2.57938873678855
0.915,0,64,2.27058955445609
0.915,0,65,2.27950790400578
0.915,0,66,1.9398467576621
0.915,0,67,1.5912410288259
0.915,0,68,1.67717850837169
0.915,0,69,1.40794743699458
0.915,0,70,0.659098368789581
0.915,0,71,0.238791952625901
0.915,0,72,-0.0884048525825286
0.915,0,73,-0.862429190994157
0.915,0,74,-1.37487253627224
