"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal)_1 []"
0.915,0,3,4.62667421669731
0.915,0,4,6.51375497597829
0.915,0,5,7.90407760575472
0.915,0,6,8.88531738876658
0.915,0,7,9.52297465491264
0.915,0,8,9.85845000107781
0.915,0,9,9.91429948802969
0.915,0,10,9.69784922473261
0.915,0,11,9.20243423308707
0.915,0,12,8.40642326017971
0.915,0,13,7.27030272985675
0.915,0,14,5.73384130868187
0.915,0,15,3.72725099833735
0.915,0,16,1.27920501671648
0.915,0,17,-0.926537171961078
0.915,0,18,-0.942919953085902
0.915,0,19,1.19964486584458
0.915,0,20,3.56792668827292
0.915,0,21,5.50630387699356
0.915,0,22,6.99760527367071
0.915,0,23,8.11986680303639
0.915,0,24,8.94255581002217
0.915,0,25,9.51673498898262
0.915,0,26,9.87899929703872
0.915,0,27,10.055930635543
0.915,0,28,10.0674391476337
0.915,0,29,9.92920958888497
0.915,0,30,9.65466390533606
0.915,0,31,9.25680721794334
0.915,0,32,8.75027767292989
0.915,0,33,8.15386372515471
0.915,0,34,7.49357501568413
0.915,0,35,6.80582720194174
0.915,0,36,6.13914994029386
0.915,0,37,5.5512484334911
0.915,0,38,5.09808660376535
0.915,0,39,4.81624388611722
0.915,0,40,4.70823948168976
0.915,0,41,4.74237167050122
0.915,0,42,4.86725140352115
0.915,0,43,5.02961735427069
0.915,0,44,5.18557206164965
0.915,0,45,5.30381775402997
0.915,0,46,5.36419458973385
0.915,0,47,5.35474108439024
0.915,0,48,5.26892962226665
0.915,0,49,5.10357636093756
0.915,0,50,4.85740959580427
0.915,0,51,4.53013464465563
0.915,0,52,4.12183346696168
0.915,0,53,3.6325759378523
0.915,0,54,3.06215828471583
0.915,0,55,2.409913245279
0.915,0,56,1.6745565081705
0.915,0,57,0.854048062731979
0.915,0,58,-0.0545409333067167
0.915,0,59,-1.05515008942241
0.915,0,60,-2.1528076068995
0.915,0,61,-3.35357253130033
0.915,0,62,-4.66411650618419
0.915,0,63,-6.09041075397043
0.915,0,64,-7.63427376247665
0.915,0,65,-9.2849997258878
0.915,0,66,-11.0006236210598
0.915,0,67,-12.6724427603958
0.915,0,68,-14.0849050835617
0.915,0,69,-14.9518919721021
0.915,0,70,-15.1208044632466
0.915,0,71,-14.7324348255864
0.915,0,72,-14.068061758072
0.915,0,73,-13.3418263467815
0.915,0,74,-12.6604865442481
0.915,0,75,-12.0629606222625
0.915,0,76,-11.5563004288757
0.915,0,77,-11.1348337304126
0.915,0,78,-10.7887475499308
0.915,0,79,-10.50763676045
0.915,0,80,-10.2818570059676
0.915,0,81,-10.10295590393
0.915,0,82,-9.96373076092749
0.915,0,83,-9.85814535494247
0.915,0,84,-9.7812030967477
0.915,0,85,-9.72881601719671
0.915,0,86,-9.69768433585933
0.915,0,87,-9.68519098743221
0.915,0,88,-9.68931129661427
0.915,0,89,-9.70853646706057
0.915,0,90,-9.74180913706884
0.915,0,91,-9.78846927332058
0.915,0,92,-9.84820882464888
0.915,0,93,-9.92103370564425
0.915,0,94,-10.0072317584355
0.915,0,95,-10.107345308554
0.915,0,96,-10.2221467505117
0.915,0,97,-10.3526152275666
0.915,0,98,-10.4999118503423
0.915,0,99,-10.6653499483066
0.915,0,100,-10.8503554477071
0.915,0,101,-11.0564104504047
0.915,0,102,-11.2849702222461
0.915,0,103,-11.5373398135349
0.915,0,104,-11.8144911852369
0.915,0,105,-12.1167950258254
0.915,0,106,-12.4436342901666
0.915,0,107,-12.7928618922607
0.915,0,108,-13.1600705984065
0.915,0,109,-13.5376752361615
0.915,0,110,-13.9138942986658
0.915,0,111,-14.2718955951475
0.915,0,112,-14.5896473236802
0.915,0,113,-14.8412835390412
0.915,0,114,-15.0007180199462
0.915,0,115,-15.0473659694695
0.915,0,116,-14.972197290511
0.915,0,117,-14.7811774115834
0.915,0,118,-14.4940736478078
0.915,0,119,-14.1393328411874
0.915,0,120,-13.7478070952374
0.915,0,121,-13.3478808495407
0.915,0,122,-12.9629328827841
0.915,0,123,-12.6107256293845
0.915,0,124,-12.3038717677712
0.915,0,125,-12.0506737880389
0.915,0,126,-11.855928087111
0.915,0,127,-11.7215158063901
0.915,0,128,-11.6467327248776
0.915,0,129,-11.6283720600612
0.915,0,130,-11.6606061303957
0.915,0,131,-11.7347452413446
0.915,0,132,-11.8390040028533
